,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
Joca Claudino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0
Cacimba de Dentro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,7,0,0,0,3,0,9,1,0,0,2,1,1,1,1,0,0,0,2,2,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,5,0,0,0,0,0,5,0,2,1,0,1,6,1,12,0,6,0,1,3,15,4,0,0,0,1,14,21,0,0,0,4,28,11,0,9,0,0,0,17,17,1,15,2,0,0,1,2,10,1,1,1,2,1,0,4,1,0,0,0,0,27,11,9
Nazarezinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,5,3,1,2,0,0,1,1,1,5,0,0,0,-1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,-1,0,1,0,0,1,2,3,0
Aparecida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,4,2,0,0,0,2,0,3,0,0,0,3,2,0,1,3,0,0,2,1,0,0,1,0,0,0,0,4,0,8,0,0,1,0,0,0,0,0,1,5,0,1,4,0,1,0,1,2,1,3,0,0,0,0,0,1,1,1,0,0,1,5,3,-3,0,0,0,2,1,2,1
Massaranduba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,3,1,0,6,0,-1,0,0,1,1,1,4,0,0,8,2,0,12,6,0,0,9,8,6,2,2,0,1,5,2,0,4,18,0,1,0,10,0,5,16,1,1,0,6,11,1,22,1,0,8,10,3,18,1,1,3,3,10,2,0,1,6,0,7,10,14,0,2,0,6,4,5,2,5,0,0,0,1,5,0,1,0,0,0,7,3,1,-2,-6,0,0,5,3,3,-1,0,0,0,4,0,3,1
Juazeirinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,10,0,0,0,0,16,7,0,0,2,0,0,2,8,-4,0,5,0,0,3,0,1,4,1,0,0,7,1,4,0,0,0,3,0,3,0,6,3,0,1,5,0,1,0,4,0,0,0,0,9,0,10,0,0,4,0,4,0,2,0,0,1,1,3,0,0,1,0,0,4,7,0,3,0,0,0,6,0,0,0,0,0,1,3,2,0,0,0,0,10,1,3,0,0,0,8,7,3,6,0,5,0,2,6,0,5,2
Itapororoca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,1,0,0,0,7,6,0,0,0,0,0,0,2,1,1,0,4,5,-3,2,0,0,8,0,2,0,0,1,1,1,0,2,1,1,4,12,1,1,28,0,4,21,0,0,13,16,6,7,8,1,0,17,18,6,2,41,2,0,9,33,1,1,9,1,39,10,4,30,2,8,0,50,3,32,12,6,36,3,0,2,9,42,5,2,1,38,1,3,15,5,44,10,1,1,11,3,5,3,11,0,4,2,6,1,3,23,5,3,12,14,5
Pedra Branca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duas Estradas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,5,0,0,2,1,0,2,0,3,0,3,4,1,1,1,0,1,2,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,-2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,3,0,3,0,0,1,1,5,0,0,0,3,0,3,2,0,0,0,5,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Sobrado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,1,0,3,0,5,1,3,0,0,3,1,1,2,1,0,0,2,0,11,1,0,0,0,3,8,0,6,0,0,3,1,0,0,0,0,0,0,4,0,6,0,0,1,0,19,3,0,5,0,1,0,4,1,20,5,0,0,13,6,0,2,1,0,0,2,10,2,0,4,0,0,0,2,0,0,0,-1,1,0,0,0,1,0,1,1,0,2,6,3,0,0,0,0,0,0,0,0
